Molecule	Name
BrC1=C(C(=O)NC1=O)c1c([nH]c2ccccc12)-n1cccn1	CHEMBL2041930
BrCCOC(CI)c1c[nH]c(=O)[nH]c1=O	CHEMBL1215974
Br\C(\C=N\NC(=O)CNc1cccc2ccccc12)=C/c1ccccc1	CHEMBL1972824
Brc1c[nH]c(Br)c1Br	CHEMBL468902
Brc1cc(C=O)cc(Br)c1OC(=O)N1CCOCC1	CHEMBL1594519
Brc1cc(coc1=O)C(=O)NCc1cccnc1	CHEMBL3188818
Brc1ccc(CCO[C@@H]2CCCC[C@H]2N2CCC(=O)C2)c(Br)c1	CHEMBL390363
Brc1ccc(CNc2nc3ccccc3n2CCN2CCCCC2)cc1	CHEMBL1571769
Brc1ccc(NC(=O)NC(c2ccc(I)cc2)c2ccc(I)cc2)cc1	CHEMBL388398
Brc1ccc(NC(=O)Nc2cccc3C(=O)N4CCCCC4c23)nc1	CHEMBL2180853
Brc1ccc(NC(=O)[C@@H]2[C@@H]3C=C[C@H]([C@H]2C(=O)NC2CCNCC2)C32CC2)cc1	CHEMBL3728932
Brc1ccc(Nc2c3CCCCc3nc3ncnn23)cc1	CHEMBL3689091
Brc1ccc(\C=C2/CCC\C(=C/c3ccc(Br)o3)C2=O)o1	CHEMBL428950
Brc1ccc(\C=N\NC(=N)N\N=C\c2ccc(Br)cc2)cc1	CHEMBL3781010
Brc1ccc(cc1)-c1cc(NC(=O)c2cncc(Br)c2)n[nH]1	CHEMBL3343295
Brc1ccc(cc1)-c1ccc(o1)C(=S)N1CCCCC1	CHEMBL1371670
Brc1ccc(cc1)-c1nc(CNCc2ccccn2)co1	CHEMBL1860605
Brc1ccc(cc1)C1(NC(=O)N(Cc2ccccc2)C1=O)c1ccc(Br)cc1	CHEMBL189160
Brc1ccc(cc1)C1=NN(C(C1)c1ccc2OCCOc2c1)c1nc(cs1)-c1ccc(Br)cc1	CHEMBL2316785
Brc1ccc(cc1)C1COC(Cn2ccnc2)(O1)c1ccccc1	CHEMBL29777
Brc1ccc(cc1)N1C[N+](=NC(=N1)c1ccccc1)c1ccc(Br)cc1	CHEMBL1987852
Brc1ccc(cc1)[C@@H](c1cn(nn1)-c1ccccc1)n1ccnc1	CHEMBL511298
Brc1ccc(s1)C(=O)NCC1CCCO1	CHEMBL1904611
Brc1ccc2-c3nc4ccccc4nc3-c3cccc1c23	CHEMBL3217888
Brc1ccc2NC(=O)C3(NC(=O)c4ccccc4N3)c2c1	CHEMBL1568344
Brc1ccc2[nH]cc(C(=O)CN3CCC(Cc4ccccc4)CC3)c2c1	CHEMBL514246
Brc1ccc2oc(=O)c(cc2c1)-c1cc(nc(NCN2CCOCC2)n1)-c1ccccc1Br	CHEMBL2238134
Brc1ccc2oc(=O)n(Cc3ccccc3)c(=O)c2c1	CHEMBL1170922
Brc1cccc(NC(=O)CN2CCCCC2)c1	CHEMBL1375929
Brc1cccc(c1)-c1cc(C(=O)OCC(=O)NCC2CCCO2)c2ccccc2n1	CHEMBL1458673
Brc1cccc(c1)-c1nn(Cc2ccccc2)c2ncnc(C#Cc3ccc(nc3)N3CCOCC3)c12	CHEMBL363442
Brc1cccc(c1)-c1nnc(CCc2c[nH]c3ccccc23)o1	CHEMBL2408831
Brc1cccc2c(cccc12)C(=O)Nc1ccccc1N1CCOCC1	CHEMBL1700848
Brc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	CHEMBL2163584
Brc1cccc[n+]1CCCC[n+]1ccccc1Br	CHEMBL1893218
Brc1ccccc1C(=O)Nc1nnc(s1)S(=O)(=O)N1CCCCC1	CHEMBL1396131
Brc1ccccc1C(=O)Nc1nncs1	CHEMBL1352422
Brc1ccccc1OCCCN1CCOCC1	CHEMBL1607294
