Molecule	Name
BrCCC(=O)N1CCN(CC1)C(=O)CCBr	Pipobroman
Brc1c(NC2=NCCN2)ccc2nccnc12	Brimonidine
Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1	Bromazepam
C#CCN[C@@H]1CCc2ccccc12	Rasagiline
C#N	hydrogen cyanide
C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1	Perhexiline
C(C1=NCCN1)c1cccc2ccccc12	Naphazoline
C(C1=NCCN1)c1ccccc1	Tolazoline
C(C1CN2CCC1CC2)N1c2ccccc2Sc2ccccc12	Mequitazine
C(C=Cc1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1	Cinnarizine
C(N(Cc1ccccc1)c1ccccc1)C1=NCCN1	Antazoline
C(N1CCCNCCNCCCNCC1)c1ccc(CN2CCCNCCNCCCNCC2)cc1	Plerixafor
C/C(/C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C\C=O	11-cis-retinal
C1CC=[NH+]C1	1-pyrrolinium
C1CN2C[C@@H](N=C2S1)c1ccccc1	Levamisole
C1CNCCN1	Piperazine
C1[C@H]2CNC[C@@H]1c1cc3nccnc3cc21	Varenicline
C=O	formaldehyde
CC#CCC(C)C(O)\C=C\C1C(O)CC2C\C(CC12)=C\CCCC(=O)OCC(=O)c1ccccc1	Iloprost
CC#CCn1c(nc2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12)N1CCC[C@@H](N)C1	Linagliptin 
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C	Mifepristone
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	retinol
CC(=O)C(=O)C1CNc2nc(N)[nH]c(=O)c2N1	6-pyruvoyl-5,6,7,8-tetrahydropterin
CC(=O)C([O-])=O	pyruvate
CC(=O)C=O	methylglyoxal
CC(=O)CC([O-])=O	acetoacetate
