Molecule	Name
BrC(Br)=CC=O	3,3-Dibromo-2-propenal
BrC1=C2NCCc3c[nH]c(c23)C(=O)C1=O	Makaluvamine O
BrC=C(Br)C(=O)C(Br)Br	(Z)-1,1,3,4-tetrabromo-but-3-en-2-one
BrC=C=CC1CC=CCC2OC(C=C)C(Br)CC2O1	microcladallene B
BrCCCC[C@H](CCCCCC=C)CCCC(=O)NCCC=C	5-(4-bromobutyl)-N-(but-3-enyl)dodec-11-enamide
Brc1[nH]c2cc(Br)cc(Br)c2c1Br	2,3,4,6-Tetrabromo-1<i>H</i>-indole
C#CC=CCCCCC=CC#CC#CCCCC=CC#C	(3Z,12Z,18Z)-heneicosa-3,12,18-diene-1,7,9,20-tetrayne
C([C@H]1[C@@H](Cc2ccc3OCOc3c2)[C@H]2O[C@@H]1OC[C@H]1[C@@H](CO2)[C@@H]([C@@H]1c1ccc2OCOc2c1)c1ccc2OCOc2c1)c1ccc2OCOc2c1	rel-4-{[(1R,4S,5R,6S,7R,10S,11S,12R)-5,6-bis(1,3-benzodioxol-5-yl)-11,12-bis(1,3-benzodioxol-5-ylmethyl)-2,9,13-trioxatricyclo[8.2.1.04,7]tridecane]}
C1=Nc2ccccc2C1=C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12	3,3'-((3H-indol-3-ylidene)methylene)bis(1H-indole)
C1CC2C[N+]34CCc5c([nH]c6ccccc56)C3CC2C(C1)C4	Nitraraidine
C1CCC(CC1)NC1CCCCC1	Biscyclohexylammonium salt-Mono-2-propenyl phosphate
C1CCCCCCc2ccc[n+](CCCCCCCCCCCCc3ccc[n+](CCCCCC1)c3)c2	cyclostellettamine B
C1CCCCc2cccc(CCCC1)n2	2,6-Nonamethylene pyridine
C1CCn2c(C1)c[n+]1CCCCc21	1,2,3,4,6,7,8,9-Octahydrodipyrido[1,2-<i>a</i>:1',2'-<i>c</i>]imidazol-10-ium(1+)
C1CN2CC3CCCCCC=CCC=CCCN4CC(CC(C4)C13)CCCCCCC=CCC2	haliclonacyclamine F
C1Oc2cc3OC4C(COc5c6OCOc6ccc45)c3cc2O1	3,4-Dimethylenedioxypterocarpan
C1SSCSSCSS1	1,2,4,5,7,8-Hexathionane
C=C1CCC23COC(=O)C2=CCCC3C11CC(OC1=O)c1ccoc1	15,16-Epoxy-3,8(17),13(16),14-clerodatetraene-18,19:20,12-diolide
C=CC#N	Nitrile-2-Propenoic acid
C=CCCCCC1CCC2CCCC(CCCC=C)N12	3-(5-Hexenyl)octahydro-5-(4-pentenyl)indolizine
CC#CC#CC#CC=CC(O)CCCCCC=C	heptadeca-1,9t-diene-11,13,15-triyn-8-ol
CC#CC#CC#CC=CC=C[C@H](O)CCO	1,3-Dihydroxy-tetradeca-4,6-dien-8,10,12-trien
CC#CC#CC#CCC=CCCCCCC=C	heptadeca-1,8c-diene-11,13,15-triyne
CC#CC#CCC=CC=CC(=O)NCC(C)C	Neopellitorine A
CC#Cc1ccc(s1)-c1ccc(s1)C(=O)CO	Arctinone A
CC#Cc1ccc(s1)-c1ccc(s1)C(O)CO	arctinol b
CC(=C(C)C(O)=O)C(O)=O	2,3-dimethylmaleic acid
